slug,name,description,parent_slug,is_paid
meditation,Медитация,Mindfulness,wellness,0
retreat,Ретрит,Выездные практики,wellness,0
biohacking,Биохакинг,Здоровые привычки,wellness,0
crafts,Рукоделие,Хендмейд и ремёсла,hobbies,0
photography-hobby,Фотография (хобби),Клубы и выезды,hobbies,0
painting,Живопись,"Акварель, масло и т.п.",hobbies,0
ceramics,Керамика,Гончарка,hobbies,0
woodworking,Столярка,Деревообработка,hobbies,0
gardening,Сад/ботаника,Комнатные растения,hobbies,0
party,Вечеринка,Клубные ивенты,nightlife,0
dj,DJ‑сет,Выступления диджеев,nightlife,0
bar-event,Бар‑ивент,"Пабы, бары, квизы",nightlife,0
openair,Опенэйр,Под открытым небом,party,0
festival,Фестиваль,Масштабное многодневное событие,community,0
fair,Ярмарка,Торговые и промо‑площадки,food,0
market-craft,Хендмейд‑маркет,Ремесленные маркеты,hobbies,0
quiz,Квиз,Викторины в барах,nightlife,0
reading,Книжные чтения,"Презентации книг, поэтические вечера",education,0
